code,country,pop,gdp,life,cell
CHN,China,1386.4,12143.49,76.41,1469.88
IND,India,1338.66,2652.55,68.8,1168.9
RUS,Russia,144.5,1578.62,72.12,227.3
USA,United States,325.15,19485.39,78.54,391.6
VNM,Vietnam,94.6,223.78,76.45,120.02
