year,sex,name,count
1952,Female,Linda,67082
1951,Male,James,87261
1951,Female,Linda,73978
1950,Male,James,86224
1950,Female,Linda,80431
1949,Male,James,86857
1949,Female,Linda,91016
1948,Male,James,88584
1948,Female,Linda,96211
1947,Male,James,94757
1947,Female,Linda,99689
1946,Male,James,87436
1946,Female,Mary,67467
1945,Male,James,74449
1945,Female,Mary,59283
1944,Male,James,76951
1944,Female,Mary,62467
1943,Male,James,80261
1943,Female,Mary,66169
1942,Male,James,77176
1942,Female,Mary,63254
1941,Male,James,66736
1941,Female,Mary,58040
1940,Male,James,62473
1940,Female,Mary,56203
1939,Male,Robert,59645
1939,Female,Mary,54901
1938,Male,Robert,62268
1938,Female,Mary,56215
1937,Male,Robert,61835
1937,Female,Mary,55645
1936,Male,Robert,58492
1936,Female,Mary,54372
1935,Male,Robert,56524
1935,Female,Mary,55069
1934,Male,Robert,55829
1934,Female,Mary,56929
1933,Male,Robert,54218
1933,Female,Mary,55509
1932,Male,Robert,59266
1932,Female,Mary,59874
1931,Male,Robert,60508
1931,Female,Mary,60296
1930,Male,Robert,62149
1930,Female,Mary,64146
1929,Male,Robert,59798
1929,Female,Mary,63508
1928,Male,Robert,60699
1928,Female,Mary,66872
1927,Male,Robert,61669
1927,Female,Mary,70639
1926,Male,Robert,61130
1926,Female,Mary,67832
1925,Male,Robert,60897
1925,Female,Mary,70591
1924,Male,Robert,60801
1924,Female,Mary,73534
1923,Male,John,57470
1923,Female,Mary,71638
1922,Male,John,57277
1922,Female,Mary,72173
1921,Male,John,58217
1921,Female,Mary,73985
1920,Male,John,56913
1920,Female,Mary,70982
1919,Male,John,53528
1919,Female,Mary,65838
1918,Male,John,56558
1918,Female,Mary,67366
1917,Male,John,51853
1917,Female,Mary,64281
1916,Male,John,50043
1916,Female,Mary,61438
1915,Male,John,47576
1915,Female,Mary,58187
1914,Male,John,37948
1914,Female,Mary,45345
1913,Male,John,29329
1913,Female,Mary,36642
1912,Male,John,24587
1912,Female,Mary,32304
1911,Male,John,13446
1911,Female,Mary,24390
1910,Male,John,11450
1910,Female,Mary,22848
1909,Male,John,9591
1909,Female,Mary,19259
1908,Male,John,9342
1908,Female,Mary,18665
1907,Male,John,8983
1907,Female,Mary,17580
1906,Male,John,8265
1906,Female,Mary,16370
1905,Male,John,8060
1905,Female,Mary,16067
1904,Male,John,8108
1904,Female,Mary,14961
1903,Male,John,7608
1903,Female,Mary,14275
1902,Male,John,7907
1902,Female,Mary,14486
1901,Male,John,6900
1901,Female,Mary,13136
1900,Male,John,9829
1900,Female,Mary,16706
1899,Male,John,6990
1899,Female,Mary,13172
1898,Male,John,8159
1898,Female,Mary,14406
1897,Male,John,7550
1897,Female,Mary,13413
1896,Male,John,8138
1896,Female,Mary,13811
1895,Male,John,8320
1895,Female,Mary,13446
1894,Male,John,8238
1894,Female,Mary,13151
1893,Male,John,8049
1893,Female,Mary,12784
1892,Male,John,9039
1892,Female,Mary,13172
1891,Male,John,7680
1891,Female,Mary,11703
1890,Male,John,8502
1890,Female,Mary,12078
1889,Male,John,8548
1889,Female,Mary,11648
1888,Male,John,9247
1888,Female,Mary,11754
1887,Male,John,8110
1887,Female,Mary,9888
1886,Male,John,9026
1886,Female,Mary,9889
1885,Male,John,8756
1885,Female,Mary,9128
1884,Male,John,9388
1884,Female,Mary,9217
1883,Male,John,8894
1883,Female,Mary,8012
1882,Male,John,9557
1882,Female,Mary,8148
1881,Male,John,8769
1881,Female,Mary,6919
1880,Male,John,9655
1880,Female,Mary,7065
